B16004_001E,B16004_001EA,B16004_001M,B16004_001MA,B16004_002E,B16004_002EA,B16004_002M,B16004_002MA,B16004_003E,B16004_003EA,B16004_003M,B16004_003MA,B16004_004E,B16004_004EA,B16004_004M,B16004_004MA,B16004_005E,B16004_005EA,B16004_005M,B16004_005MA,B16004_006E,B16004_006EA,B16004_006M,B16004_006MA,B16004_007E,B16004_007EA,B16004_007M,B16004_007MA,B16004_008E,B16004_008EA,B16004_008M,B16004_008MA,B16004_009E,B16004_009EA,B16004_009M,B16004_009MA,B16004_010E,B16004_010EA,B16004_010M,B16004_010MA,B16004_011E,B16004_011EA,B16004_011M,B16004_011MA,B16004_012E,B16004_012EA,B16004_012M,B16004_012MA,B16004_013E,B16004_013EA,B16004_013M,B16004_013MA,B16004_014E,B16004_014EA,B16004_014M,B16004_014MA,B16004_015E,B16004_015EA,B16004_015M,B16004_015MA,B16004_016E,B16004_016EA,B16004_016M,B16004_016MA,B16004_017E,B16004_017EA,B16004_017M,B16004_017MA,B16004_018E,B16004_018EA,B16004_018M,B16004_018MA,B16004_019E,B16004_019EA,B16004_019M,B16004_019MA,B16004_020E,B16004_020EA,B16004_020M,B16004_020MA,B16004_021E,B16004_021EA,B16004_021M,B16004_021MA,B16004_022E,B16004_022EA,B16004_022M,B16004_022MA,B16004_023E,B16004_023EA,B16004_023M,B16004_023MA,B16004_024E,B16004_024EA,B16004_024M,B16004_024MA,B16004_025E,B16004_025EA,B16004_025M,B16004_025MA,B16004_026E,B16004_026EA,B16004_026M,B16004_026MA,B16004_027E,B16004_027EA,B16004_027M,B16004_027MA,B16004_028E,B16004_028EA,B16004_028M,B16004_028MA,B16004_029E,B16004_029EA,B16004_029M,B16004_029MA,B16004_030E,B16004_030EA,B16004_030M,B16004_030MA,B16004_031E,B16004_031EA,B16004_031M,B16004_031MA,B16004_032E,B16004_032EA,B16004_032M,B16004_032MA,B16004_033E,B16004_033EA,B16004_033M,B16004_033MA,B16004_034E,B16004_034EA,B16004_034M,B16004_034MA,B16004_035E,B16004_035EA,B16004_035M,B16004_035MA,B16004_036E,B16004_036EA,B16004_036M,B16004_036MA,B16004_037E,B16004_037EA,B16004_037M,B16004_037MA,B16004_038E,B16004_038EA,B16004_038M,B16004_038MA,B16004_039E,B16004_039EA,B16004_039M,B16004_039MA,B16004_040E,B16004_040EA,B16004_040M,B16004_040MA,B16004_041E,B16004_041EA,B16004_041M,B16004_041MA,B16004_042E,B16004_042EA,B16004_042M,B16004_042MA,B16004_043E,B16004_043EA,B16004_043M,B16004_043MA,B16004_044E,B16004_044EA,B16004_044M,B16004_044MA,B16004_045E,B16004_045EA,B16004_045M,B16004_045MA,B16004_046E,B16004_046EA,B16004_046M,B16004_046MA,B16004_047E,B16004_047EA,B16004_047M,B16004_047MA,B16004_048E,B16004_048EA,B16004_048M,B16004_048MA,B16004_049E,B16004_049EA,B16004_049M,B16004_049MA,B16004_050E,B16004_050EA,B16004_050M,B16004_050MA,B16004_051E,B16004_051EA,B16004_051M,B16004_051MA,B16004_052E,B16004_052EA,B16004_052M,B16004_052MA,B16004_053E,B16004_053EA,B16004_053M,B16004_053MA,B16004_054E,B16004_054EA,B16004_054M,B16004_054MA,B16004_055E,B16004_055EA,B16004_055M,B16004_055MA,B16004_056E,B16004_056EA,B16004_056M,B16004_056MA,B16004_057E,B16004_057EA,B16004_057M,B16004_057MA,B16004_058E,B16004_058EA,B16004_058M,B16004_058MA,B16004_059E,B16004_059EA,B16004_059M,B16004_059MA,B16004_060E,B16004_060EA,B16004_060M,B16004_060MA,B16004_061E,B16004_061EA,B16004_061M,B16004_061MA,B16004_062E,B16004_062EA,B16004_062M,B16004_062MA,B16004_063E,B16004_063EA,B16004_063M,B16004_063MA,B16004_064E,B16004_064EA,B16004_064M,B16004_064MA,B16004_065E,B16004_065EA,B16004_065M,B16004_065MA,B16004_066E,B16004_066EA,B16004_066M,B16004_066MA,B16004_067E,B16004_067EA,B16004_067M,B16004_067MA,GEO_ID,NAME,state,county,tract,block group
2896,,626,,626,,225,,512,,181,,114,,135,,52,,50,,62,,98,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1859,,522,,1656,,501,,202,,211,,38,,45,,60,,74,,104,,159,,0,,13,,1,,3,,0,,13,,1,,3,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,411,,202,,382,,195,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,29,,49,,0,,13,,0,,13,,29,,49,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411005082,"Block Group 2, Census Tract 1005.08, Chesterfield County, Virginia",51,41,100508,2
1254,,426,,185,,118,,185,,118,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,906,,365,,827,,370,,79,,91,,79,,91,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,163,,110,,89,,80,,1,,3,,0,,13,,0,,13,,1,,3,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,73,,113,,0,,13,,45,,69,,28,,45,,0,,13,,510411005093,"Block Group 3, Census Tract 1005.09, Chesterfield County, Virginia",51,41,100509,3
1731,,412,,186,,130,,186,,130,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1160,,270,,1094,,260,,16,,26,,16,,26,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,50,,79,,0,,13,,26,,42,,24,,38,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,385,,123,,336,,113,,49,,77,,19,,28,,30,,49,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411005102,"Block Group 2, Census Tract 1005.10, Chesterfield County, Virginia",51,41,100510,2
494,,222,,49,,56,,32,,48,,17,,28,,17,,28,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,334,,181,,202,,93,,132,,144,,109,,139,,23,,36,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,111,,56,,111,,56,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411006003,"Block Group 3, Census Tract 1006, Chesterfield County, Virginia",51,41,100600,3
828,,364,,63,,55,,40,,37,,23,,39,,23,,39,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,637,,309,,442,,205,,174,,240,,50,,78,,0,,13,,45,,72,,79,,96,,21,,33,,21,,33,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,128,,67,,112,,66,,16,,26,,16,,26,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411008053,"Block Group 3, Census Tract 1008.05, Chesterfield County, Virginia",51,41,100805,3
1824,,373,,407,,199,,244,,136,,162,,142,,60,,80,,18,,28,,84,,76,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1,,3,,0,,13,,1,,3,,0,,13,,0,,13,,1123,,216,,799,,223,,324,,175,,68,,78,,13,,24,,212,,187,,31,,36,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,294,,104,,289,,103,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,5,,10,,2,,5,,3,,5,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411008062,"Block Group 2, Census Tract 1008.06, Chesterfield County, Virginia",51,41,100806,2
2604,,405,,559,,230,,559,,230,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1679,,383,,1601,,371,,43,,73,,43,,73,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,35,,51,,35,,51,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,366,,154,,366,,154,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411008122,"Block Group 2, Census Tract 1008.12, Chesterfield County, Virginia",51,41,100812,2
1523,,356,,199,,83,,176,,86,,23,,30,,23,,30,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1169,,311,,1020,,278,,130,,122,,59,,56,,71,,88,,0,,13,,0,,13,,12,,18,,12,,18,,0,,13,,0,,13,,0,,13,,7,,11,,7,,11,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,155,,73,,138,,68,,17,,27,,17,,27,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411008142,"Block Group 2, Census Tract 1008.14, Chesterfield County, Virginia",51,41,100814,2
1027,,200,,97,,56,,97,,56,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,744,,192,,729,,190,,11,,17,,0,,13,,0,,13,,11,,17,,0,,13,,4,,8,,4,,8,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,186,,76,,186,,76,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411008161,"Block Group 1, Census Tract 1008.16, Chesterfield County, Virginia",51,41,100816,1
1844,,361,,286,,148,,205,,117,,31,,39,,31,,39,,0,,13,,0,,13,,0,,13,,24,,36,,24,,36,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,26,,38,,26,,38,,0,,13,,0,,13,,0,,13,,1236,,282,,913,,229,,273,,254,,51,,54,,35,,41,,91,,103,,96,,116,,50,,76,,50,,76,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,322,,114,,260,,93,,62,,93,,62,,93,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411008171,"Block Group 1, Census Tract 1008.17, Chesterfield County, Virginia",51,41,100817,1
3040,,693,,286,,96,,252,,94,,34,,32,,29,,29,,5,,7,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,2490,,675,,2147,,631,,201,,197,,53,,66,,83,,83,,49,,73,,16,,26,,8,,11,,8,,11,,0,,13,,0,,13,,0,,13,,134,,177,,40,,49,,41,,67,,53,,74,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,264,,119,,264,,119,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411008182,"Block Group 2, Census Tract 1008.18, Chesterfield County, Virginia",51,41,100818,2
2066,,415,,354,,229,,354,,229,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1457,,337,,1396,,338,,61,,66,,46,,63,,15,,26,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,255,,112,,234,,110,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,21,,35,,0,,13,,0,,13,,21,,35,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411008193,"Block Group 3, Census Tract 1008.19, Chesterfield County, Virginia",51,41,100819,3
2112,,312,,333,,106,,324,,106,,9,,14,,9,,14,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1198,,286,,1117,,278,,10,,15,,10,,15,,0,,13,,0,,13,,0,,13,,11,,17,,11,,17,,0,,13,,0,,13,,0,,13,,60,,83,,0,,13,,60,,83,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,581,,135,,559,,131,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,22,,36,,0,,13,,22,,36,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411008212,"Block Group 2, Census Tract 1008.21, Chesterfield County, Virginia",51,41,100821,2
2874,,628,,629,,328,,563,,333,,8,,12,,8,,12,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,58,,75,,58,,75,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1672,,318,,1365,,297,,79,,50,,73,,47,,6,,10,,0,,13,,0,,13,,44,,50,,44,,50,,0,,13,,0,,13,,0,,13,,184,,174,,175,,174,,9,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,573,,239,,524,,241,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,49,,45,,49,,45,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411008222,"Block Group 2, Census Tract 1008.22, Chesterfield County, Virginia",51,41,100822,2
744,,264,,115,,106,,95,,102,,20,,32,,20,,32,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,443,,193,,411,,186,,32,,42,,32,,42,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,186,,116,,186,,116,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411008232,"Block Group 2, Census Tract 1008.23, Chesterfield County, Virginia",51,41,100823,2
2036,,307,,516,,164,,470,,156,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,46,,65,,39,,52,,7,,17,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1157,,195,,1132,,202,,10,,15,,10,,15,,0,,13,,0,,13,,0,,13,,15,,17,,15,,17,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,363,,108,,363,,108,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411009022,"Block Group 2, Census Tract 1009.02, Chesterfield County, Virginia",51,41,100902,2
1028,,253,,158,,79,,111,,76,,47,,67,,47,,67,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,381,,118,,283,,110,,65,,80,,8,,13,,0,,13,,57,,79,,0,,13,,10,,19,,10,,19,,0,,13,,0,,13,,0,,13,,23,,33,,18,,32,,0,,13,,5,,11,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,489,,211,,478,,211,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,11,,19,,11,,19,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411009072,"Block Group 2, Census Tract 1009.07, Chesterfield County, Virginia",51,41,100907,2
1710,,368,,186,,93,,168,,96,,18,,38,,18,,38,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1172,,353,,1108,,355,,54,,46,,45,,38,,9,,14,,0,,13,,0,,13,,10,,19,,10,,19,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,352,,165,,352,,165,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411009103,"Block Group 3, Census Tract 1009.10, Chesterfield County, Virginia",51,41,100910,3
1597,,419,,285,,156,,267,,151,,12,,19,,12,,19,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,6,,11,,6,,11,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1099,,304,,874,,274,,53,,60,,36,,41,,17,,28,,0,,13,,0,,13,,91,,142,,79,,121,,12,,21,,0,,13,,0,,13,,32,,33,,6,,11,,12,,22,,14,,24,,0,,13,,49,,64,,25,,33,,24,,31,,0,,13,,0,,13,,213,,75,,200,,73,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,6,,10,,0,,13,,6,,10,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,7,,10,,7,,10,,0,,13,,0,,13,,0,,13,,510411009221,"Block Group 1, Census Tract 1009.22, Chesterfield County, Virginia",51,41,100922,1
1768,,823,,491,,445,,205,,101,,286,,422,,286,,422,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1053,,428,,814,,267,,138,,185,,134,,186,,4,,15,,0,,13,,0,,13,,101,,157,,101,,157,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,224,,72,,219,,72,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,5,,9,,5,,9,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411009231,"Block Group 1, Census Tract 1009.23, Chesterfield County, Virginia",51,41,100923,1
2534,,370,,619,,161,,619,,161,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1367,,195,,1303,,194,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,33,,38,,33,,38,,0,,13,,0,,13,,0,,13,,31,,34,,25,,29,,6,,10,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,548,,146,,527,,149,,6,,10,,0,,13,,0,,13,,0,,13,,6,,10,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,15,,24,,15,,24,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411009242,"Block Group 2, Census Tract 1009.24, Chesterfield County, Virginia",51,41,100924,2
1613,,407,,478,,205,,474,,205,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,4,,11,,0,,13,,0,,13,,4,,11,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,898,,221,,782,,193,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,34,,55,,0,,13,,34,,55,,0,,13,,0,,13,,68,,72,,14,,22,,45,,60,,9,,21,,0,,13,,14,,23,,14,,23,,0,,13,,0,,13,,0,,13,,237,,153,,237,,153,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411009263,"Block Group 3, Census Tract 1009.26, Chesterfield County, Virginia",51,41,100926,3
1748,,412,,108,,85,,108,,85,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,1115,,339,,1055,,332,,1,,3,,0,,13,,0,,13,,1,,3,,0,,13,,1,,3,,1,,3,,0,,13,,0,,13,,0,,13,,58,,97,,0,,13,,58,,97,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,525,,229,,509,,227,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,16,,29,,0,,13,,0,,13,,0,,13,,16,,29,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,510411009282,"Block Group 2, Census Tract 1009.28, Chesterfield County, Virginia",51,41,100928,2
2024,,460,,361,,123,,274,,120,,27,,41,,27,,41,,0,,13,,0,,13,,0,,13,,18,,29,,18,,29,,0,,13,,0,,13,,0,,13,,36,,39,,22,,23,,14,,19,,0,,13,,0,,13,,6,,11,,6,,11,,0,,13,,0,,13,,0,,13,,1405,,362,,931,,293,,62,,64,,44,,51,,10,,17,,8,,12,,0,,13,,298,,271,,236,,224,,62,,81,,0,,13,,0,,13,,87,,89,,64,,63,,23,,31,,0,,13,,0,,13,,27,,49,,19,,35,,8,,14,,0,,13,,0,,13,,258,,167,,211,,172,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,18,,22,,0,,13,,0,,13,,0,,13,,18,,22,,29,,36,,11,,23,,18,,29,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,511539012263,"Block Group 3, Census Tract 9012.26, Prince William County, Virginia",51,153,901226,3
599,,303,,167,,159,,82,,64,,73,,98,,73,,98,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,12,,20,,12,,20,,0,,13,,0,,13,,0,,13,,370,,159,,212,,83,,148,,140,,20,,32,,120,,120,,8,,15,,0,,13,,1,,2,,0,,13,,1,,2,,0,,13,,0,,13,,9,,14,,0,,13,,9,,14,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,62,,60,,62,,60,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,511539012273,"Block Group 3, Census Tract 9012.27, Prince William County, Virginia",51,153,901227,3
1204,,279,,273,,126,,132,,85,,107,,91,,107,,91,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,8,,13,,8,,13,,0,,13,,0,,13,,0,,13,,26,,49,,26,,49,,0,,13,,0,,13,,0,,13,,857,,227,,561,,181,,227,,175,,77,,84,,107,,84,,43,,61,,0,,13,,8,,12,,0,,13,,0,,13,,8,,12,,0,,13,,45,,44,,27,,31,,18,,31,,0,,13,,0,,13,,16,,31,,8,,15,,8,,16,,0,,13,,0,,13,,74,,54,,29,,24,,8,,12,,0,,13,,8,,12,,0,,13,,0,,13,,16,,18,,0,,13,,9,,14,,7,,11,,0,,13,,21,,43,,0,,13,,21,,43,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,0,,13,,511539012283,"Block Group 3, Census Tract 9012.28, Prince William County, Virginia",51,153,901228,3
